hari,Time,latency_ms,packet_loss_percent,bits_sent_mbps,bits_received_mbps,total_traffic_mbps,latency_z,packet_loss_z,total_traffic_z,cluster_raw,tingkat_gangguan
Rabu,2026-07-08 13:33:00,1.0343333333333333,0.0,1.9,8.76,10.66,-0.46077496747536595,-0.12446097204675334,-0.2021380260461244,0,Rendah
Rabu,2026-07-08 13:36:00,1.04,0.0,2.01,8.65,10.66,-0.4526358161179323,-0.12446097204675334,-0.2021380260461244,0,Rendah
Rabu,2026-07-08 13:39:00,0.8523333333333333,0.0,3.06,11.5,14.56,-0.7221853581317614,-0.12446097204675334,0.09931580978681777,0,Rendah
Rabu,2026-07-08 13:42:00,0.73,0.0,3.35,12.8,16.150000000000002,-0.8978952727304741,-0.12446097204675334,0.22221621978024816,0,Rendah
Rabu,2026-07-08 13:45:00,0.9476666666666667,0.0,2.76,15.4,18.16,-0.5852561058831733,-0.12446097204675334,0.37758088901722586,0,Rendah
Rabu,2026-07-08 13:48:00,0.8883333333333333,0.0,3.51,18.1,21.61,-0.6704778083315953,-0.12446097204675334,0.644251589946367,0,Rendah
Rabu,2026-07-08 13:51:00,0.8843333333333333,0.0,2.29,17.4,19.689999999999998,-0.6762230916427249,-0.12446097204675334,0.49584354769014916,0,Rendah
Rabu,2026-07-08 13:54:00,0.9470000000000001,0.0,3.08,17.2,20.28,-0.5862136531016948,-0.12446097204675334,0.5414481023417996,0,Rendah
Rabu,2026-07-08 13:57:00,0.9039999999999999,0.0,3.11,16.4,19.509999999999998,-0.6479754486963378,-0.12446097204675334,0.4819302937286288,0,Rendah
Rabu,2026-07-08 14:00:00,0.807,0.0,3.03,13.9,16.93,-0.7872985689912297,-0.12446097204675334,0.2825069869468364,0,Rendah
Rabu,2026-07-08 14:03:00,0.8943333333333334,0.0,2.46,16.0,18.46,-0.6618598833649008,-0.12446097204675334,0.4007696456197599,0,Rendah
Rabu,2026-07-08 14:06:00,0.8996666666666666,0.0,2.32,9.1,11.42,-0.6541995056167282,-0.12446097204675334,-0.1433931759863716,0,Rendah
Rabu,2026-07-08 14:09:00,0.8006666666666667,0.0,2.56,14.8,17.36,-0.7963952675671848,-0.12446097204675334,0.31574420474380177,0,Rendah
Rabu,2026-07-08 14:12:00,0.7146666666666667,0.0,2.64,21.7,24.34,-0.9199188587564707,-0.12446097204675334,0.8552692750294265,0,Rendah
Rabu,2026-07-08 14:15:00,0.9630000000000001,0.0,2.98,15.6,18.58,-0.5632325198571765,-0.12446097204675334,0.4100451482607734,0,Rendah
Rabu,2026-07-08 14:18:00,0.7003333333333334,0.0,3.02,12.7,15.719999999999999,-0.9405061239546849,-0.12446097204675334,0.1889790019832825,0,Rendah
